### based on codes available for free here: http://vag-codes.info/files/options/vag-option-codes.xlsx
### VAG option codes		http://vag-codes.info/
### 14288 option codes with description		
### 297 new codes		
### updated 13.01.2018		
### code	group	description
#38	MOT	4-cyl. turbo dies. eng. 1.6 l/92 kW (4V)TDI common rail ABT power enhancement
#7U	STR	Engine start and remote start feature without keyless locking and starting system
#AT	BRS	
#B1	BRS	ESC special vehicle 1
#B2	BRS	ESC special vehicle 2
#B3	BRS	ESC special vehicle 3
#B4	BRS	ESC special vehicle 4
#B5	BRS	ESC special vehicle 5
#B6	BRS	ESC special vehicle 6
#B7	BRS	ESC special vehicle 7
#B8	BRS	ASR application matched to special-purpose vehicle 1
#B9	BRS	ASR application matched to special-purpose vehicle 2
#BA	BRS	ESC special vehicle 8
#BB	BRS	ESC special vehicle 9
#BC	BRS	ESC special vehicle 10
#BD	BRS	ESC special vehicle 11
#BE	BRS	ESC special vehicle 12
#BF	BRS	ESC special vehicle 13
#BG	BRS	ESC special vehicle 14
#BH	BRS	ESC special vehicle 15
#BJ	BRS	ESC special vehicle 16
#BK	BRS	ESC special vehicle 17
#BL	BRS	ESC special vehicle 18
#BM	BRS	ESC special vehicle 19
#BN	BRS	ESC special vehicle 20
#BP	BRS	ESC special vehicle 21
#D0	AHV	Trailer hitch aftermarket equipment, removable and lockable
#D1	AHV	Trailer hitch aftermarket equipment, mechanically swiveling, manual
#D2	AHV	Trailer hitch aftermarket equipment, power-folding
#D3	AHV	Trailer hitch aftermarket equipment, USA
#D4	AHV	Trailer hitch aftermarket equipment, Australia
#D5	AHV	Trailer hitch aftermarket equipment, mechanically swiveling with reduced towing capacity
#D6	AHV	Trailer hitch aftermarket equipment, removable with reduced ventilation capacity
#D7	AHV	Trailer hitch aftermarket equipment, power-swiveling with reduced ventilationcapacity
#D8	AHV	Trailer hitch aftermarket equipment, rigid
#D9	AHV	Trailer hitch aftermarket equipment, power-swiveling with maneuvering system
#E1	AHV	Trailer hitch aftermarket equipment, electr. swiveling w/ reduced ventilationcapacity and maneuvering system
#E2	AHV	Trailer hitch aftermarket equipment, without trailer control module
#E3	AHV	Retrofitting of trailer hitch, with reduced ventilation capacity for Australia/New Zealand
#H1	REI	New coding of instrument cluster due to changed tires, new 245/75 R16
#H2	REI	New coding of instrument cluster due to changed tires, new 215/85 R16
#H3	REI	New coding of instrument cluster due to changed tires, new 285/75 R16
#I2	TKV	Recoding of 4I2 with activated auto-lock feature
#I3	TKV	Recoding of 4k3 with activated auto-lock feature
#J1	HES	Coding for rear spoiler fixed spoiler
#K1	FLS	Recoding 8K1 deactivation separate daytime running lights
#K3	FLS	Recoding 8K3 deactivation separate daytime running lights
#L1	ONL	Online Connectivity Unit deactivation without head unit coding
#L5	ONL	Online Connectivity Unit deactivation with head unit coding
#M9	ZUH	Retrofitting of fuel-fired parking heater with radio remote control
#N3	SWS	Reactivation of the rain sensor
#SK	SBR	LED tail lamp assembly as aftermarket equipment
#U2	STR	Aftermarket equipment remote start feature recoding of 7U2
#W3	CPD	Recoding of IW3
#X5	ESZ	Recoding GX5, decoding of the warning signal
#XI	ASE	Ext. mirror, auto-dimming, el. folding/ adjust., separately heated, w/ front pass. exterior mirror lowering function
#ZP	BAV	Disk brakes in front 15-inch " PC57-25/14 Jurid 200-FF
C4Q	RAD	Alloy wheels 8J x 18
C4R	RAD	Alloy wheels 6.5J x 16
C4S	RAD	Cast alloy wheels 7J x 17 ET38 (1J0 601 025AS)
C4T	RAD	Alloy wheels 8J x 17
C4U	RAD	Alloy wheels 6.5J x 16 ET50 (1Z0 601 025A)
C4V	RAD	Alloy wheels 8J x 17
C4W	RAD	Steel wheels 6J x 15 ET43 (5 holes)
C4X	RAD	Alloy wheels 7J x 16
C4Y	RAD	Alloy wheels 8.5J x 19 in front, with 11J x 19 in rear
C4Z	RAD	Alloy wheels 6.5J x 17
C50	COC	Operating permit, alteration
C51	COC	Operating permit, alteration
C52	COC	Operating permit, alteration
C53	COC	Operating permit, alteration
C54	COC	Operating permit, alteration
C55	COC	Operating permit, alteration
C56	COC	Operating permit, alteration
C57	COC	Operating permit, alteration
C58	COC	Operating permit, alteration
C59	COC	Operating permit, alteration
C5A	RAD	Cast alloy wheels 7J x 17
C5B	RAD	Alloy wheels 9.5J x 20
C5C	RAD	Alloy wheels 6.5J x 16
C5D	RAD	Alloy wheels 9.5J x 20
C5E	RAD	Alloy wheels 8.5J x 19
C5F	RAD	Alloy wheels 8J x 18 in front, with 9J x 18 in rear
C5G	RAD	Alloy wheels 8J x 18
C5H	RAD	Alloy wheels 9J x 19
C5I	RAD	Alloy wheels 7.5J x 17
C5J	RAD	Alloy wheels 9J x 21
C5K	RAD	Alloy wheels 9J x 19
C5L	RAD	Alloy wheels 6.5J x 15
C5M	RAD	Alloy wheels 7J x 18
C5N	RAD	Steel wheels 6J x 16
C5P	RAD	Steel wheels 5J x 13 ET35 (5 holes)
C5Q	RAD	Alloy wheels 7.5J x 17
C5R	RAD	Alloy wheels 9J x 19
C5S	RAD	Alloy wheels 8J x 19
C5T	RAD	Alloy wheels 9J x 19
C5U	RAD	Alloy wheels 6.5J x 16
C5V	RAD	Alloy wheels 7.5J x 16
C5W	RAD	Cast alloy wheels 7J x 15
C5X	RAD	Alloy wheels 7J x 16
C5Y	RAD	Alloy wheels 8J x 18
C5Z	RAD	Cast alloy wheels 7J x 16
C6A	RAD	Alloy wheels 6.5J x 16
C6B	RAD	Steel wheels 7J x 17
C6C	RAD	Alloy wheels 8.5J x 18
C6D	RAD	Steel wheels 6J x 14 ET38
C6E	RAD	Steel wheels 6J x 15 ET38
C6F	RAD	Alloy wheels 6J x 15
C6G	RAD	Alloy wheels 6.5J x 15 1J0 601 025A style, ET43 (5 holes)
C6H	RAD	Alloy wheels 8J x 19
C6I	RAD	Alloy wheels 7.5J x 18
C6J	RAD	Steel wheels 6J x 14, SEAT, black ET38
C6K	RAD	Alloy wheels 7J x 15 " Adelaide" ET45 (5 holes)
C6L	RAD	Alloy wheels 7J x 16 "Santa Monica" ET45 (5 holes)
C6M	RAD	Alloy wheels 6.5J x 16
C6N	RAD	Alloy wheels 8.5J x 19 in front, with 11J x 19 in rear
C6P	RAD	Alloy wheels 8J x 19 in front, with 9J x 19 in rear
C6Q	RAD	Alloy wheels 7.5J x 19
C6R	RAD	Alloy wheels 6J x 17
C6S	RAD	Alloy wheels 6.5J x 16
C6T	RAD	Steel wheels 8.25 x 22.5 (10-hole)
C6U	RAD	Alloy wheels 7J x 17
C6V	RAD	Alloy wheels 6J x 15
C6W	RAD	Alloy wheels 6J x 15
C6X	RAD	Alloy wheels 8J x 19 in front, with 9J x 19 in rear
C6Y	RAD	Cast alloy wheels 6J x 15 6-spoke style, ET38
C6Z	RAD	Alloy wheels 7.5 x 18
C7A	RAD	Cast alloy wheels 7J x 16
C7B	RAD	Alloy wheels 6.5J x 16
C7C	RAD	Alloy wheels 6.5J x 16
C7D	RAD	Alloy wheels 8J x 19
C7E	RAD	Alloy wheels 7J x 17
C7F	RAD	Alloy wheels 10J x 21
C7G	RAD	Forged alloy wheels 8.5J x 19
C7H	RAD	Alloy wheels 6J x 15
C7I	RAD	Alloy wheels 7.5J x 18
C7J	RAD	Alloy wheels 7J x 17
C7K	RAD	Alloy wheels 6J x 15
C7L	RAD	Cast alloy wheels 7J x 16
C7M	RAD	Alloy wheels 8J x 19
C7N	RAD	Alloy wheels 8J x 18 in front, with 9J x 18 in rear
C7P	RAD	Forged alloy wheels 8.5J x 18
C7Q	RAD	Alloy wheels 7J x 17
C7R	RAD	Alloy wheels 7.5J x 17
C7S	RAD	Alloy wheels 6J x 15
C7T	RAD	Alloy wheels 9J x 21 in front, with 10J x 21 in rear
C7U	RAD	Alloy wheels 9J x 19
C7V	RAD	Alloy wheels 8J x 19 in front, with 9.5J x 19 in rear
C7W	RAD	Steel wheels 6J x 15
C7X	RAD	Alloy wheels 8J x 19 in front, with 9.5J x 19 in rear
C7Y	RAD	Alloy wheels 6.5J x 16
C7Z	RAD	Alloy wheels 8J x 18
C8A	RAD	Cast alloy wheels 8.5J x 19
C8B	RAD	Alloy wheels 6.5J x 16
C8C	RAD	Alloy wheels 7.5J x 18
C8D	RAD	Alloy wheels 6J x 15
C8E	RAD	Steel wheels 6J x 14
C8F	RAD	Cast alloy wheels 7.5J x 17
C8G	RAD	Alloy wheels 9J x 18
C8H	RAD	Alloy wheels 8J x 19
C8I	RAD	Alloy wheels 7.5J x 19
C8J	RAD	Alloy wheels 8J x 19
C8K	RAD	Alloy wheels 8.5J x 19
C8L	RAD	Alloy wheels 6J x 14 ET43 (5 holes) 6Q0 601 025K
C8M	RAD	Alloy wheels 6J x 15
C8N	RAD	Alloy wheels 7.5J x 18
C8P	RAD	Alloy wheels 6J x 14 "Solitude menor" style, ET38
C8Q	RAD	Alloy wheels 6.5J x 15 5-spoke style, ET30
C8R	RAD	Alloy wheels 8J x 19
C8S	RAD	Alloy wheels 8J x 18
C8T	RAD	Alloy wheels 6.5J x 16 ET50 (1Z0 601 025C)
C8U	RAD	Alloy wheels 7J x 17
C8V	RAD	Steel wheels 6J x 15
C8W	RAD	Alloy wheels 6J x 15
C8X	RAD	Alloy wheels 8J x 19
C8Y	RAD	Steel wheels 5.5J x 16 in front, with 8.5J x 16 in rear
C8Z	RAD	Alloy wheels 6J x 14
C99	COC	Operating permit, alteration
C9A	RAD	Alloy wheels 6.5J x 16 ET42
C9B	RAD	Alloy wheels 7J x 16
C9C	RAD	Alloy wheels 6.5J x 17
C9D	RAD	Steel wheels 6.5J x 16
C9E	RAD	Alloy wheels 6.5J x 15
C9F	RAD	Alloy wheels 6.5J x 17 in front, with 8J x 17 in rear
C9G	RAD	Steel wheels 6J x 14 ET43 (5 holes)
C9H	RAD	Alloy wheels 6.5J x 15 "Softline" style,ET30
C9I	RAD	Alloy wheels 5J x 14
C9J	RAD	Alloy wheels 7J x 17 ET54 (1Z0 601 025D)
C9K	RAD	Alloy wheels 9J x 21 in front, with 10J x 21 in rear
C9L	RAD	Alloy wheels 6.5J x 16
C9M	RAD	Alloy wheels 8J x 17
C9N	RAD	Alloy wheels 10J x 21
C9P	RAD	Cast alloy wheels 7.5J x 16
C9Q	RAD	Cast alloy wheels 7.5J x 16
C9R	RAD	Cast alloy wheels 8J x 17
C9S	RAD	Alloy wheels 10J x 21
C9T	RAD	Alloy wheels 8J x 18
C9U	RAD	Alloy wheels 6.5J x 16
C9V	RAD	Alloy wheels 7.5J x 17
C9W	RAD	Alloy wheels 9J x 19
C9X	RAD	Alloy wheels 7.5J x 17
C9Y	RAD	Steel wheels 7.00 x 16
C9Z	RAD	Alloy wheels 6J x 14 ET38
CA0	RAD	Alloy wheels 10J x 20
CA1	RAD	Forged alloy wheels 7J x 16
CA2	RAD	Alloy wheels 7J x 16
CA3	RAD	Alloy wheels 7J x 16
CA4	RAD	Alloy wheels 7.5J x 16
CA5	RAD	Alloy wheels 7.5J x 17
CA6	RAD	Alloy wheels 8J x 17
CA7	RAD	Alloy wheels 8J x 18
CA8	RAD	Alloy wheels 8J x 17
CA9	RAD	Alloy wheels 6.5J x 16
CB0	RAD	Alloy wheels 7.5J x 18
CB1	RAD	Alloy wheels 5.5J x 15
CB2	RAD	Alloy wheels 8J x 20
CB3	RAD	Alloy wheels 6J x 14 ET38
CB4	RAD	Alloy wheels 6.5J x 16
CB5	RAD	Alloy wheels 8J x 18
CB6	RAD	Alloy wheels 7J x 16
CB7	RAD	Alloy wheels 7J x 16
CB8	RAD	Alloy wheels 7J x 16
CB9	RAD	Alloy wheels 6.5J x 16
CC0	RAD	Alloy wheels 6J x 15 ET43 (five-hole)
CC1	RAD	Alloy wheels 7.5J x 18
CC2	RAD	Alloy wheels 8J x 17
CC3	RAD	Alloy wheels 7J x 17
CC4	RAD	Alloy wheels 5.5J x 14
CC5	RAD	Alloy wheels 7.5J x 18
CC6	RAD	Alloy wheels 8J x 20
CC7	RAD	Alloy wheels 7J x 17
CC8	RAD	Alloy wheels 5 J x 15
CC9	RAD	Alloy wheels 8J x 18
CD0	RAD	Alloy wheels 7.5J x 17
CD1	RAD	Alloy wheels 7J x 17
CD2	RAD	Alloy wheels 7J x 17
CD3	RAD	Alloy wheels 8J x 18
CD4	RAD	Alloy wheels 9.5J x 20
CD5	RAD	Alloy wheels 7J x 17
CD6	RAD	Alloy wheels 7.5J x 16
CD7	RAD	Alloy wheels 7.5J x 17
CD8	RAD	Alloy wheels 7.5J x 18
CD9	RAD	Alloy wheels 6.5J x 16
CE0	RAD	Alloy wheels 8.5J x 18
CE1	RAD	Alloy wheels 8.5J x 19
CE2	RAD	Alloy wheels 6J x 15
CE3	RAD	Alloy wheels 8.5J x 19 in front, with 11J x 19 in rear
CE4	RAD	Alloy wheels 7J x 16
CE5	RAD	Alloy wheels 9J x 20
CE6	RAD	Alloy wheels 9J x 20
CE7	RAD	Alloy wheels 7.5J x 17
CE8	RAD	Cast alloy wheels 9J x 20 in front and 13J x 21 in rear
CE9	RAD	Alloy wheels 6.5J x 17
CF0	RAD	Alloy wheels 8J x 20
CF1	RAD	Alloy wheels 6J x 16
CF2	RAD	Alloy wheels 9J x 19 in front, with 12J x 20 in rear
CF3	RAD	Alloy wheels 6.5J x 16
CF4	RAD	Alloy wheels 7.5J x 18
CF5	RAD	Alloy wheels 6.5J x 16
CF6	RAD	Alloy wheels 8.5J x 20
CF7	RAD	Alloy wheels 7.5J x 17
CF8	RAD	Alloy wheels 8J x 18
CF9	RAD	Alloy wheels 7.5J x 18
CG0	RAD	Alloy wheels 8J x 17
CG1	RAD	Alloy wheels 6J x 16
CG2	RAD	Cast alloy wheels 8J x 18
CG3	RAD	Cast alloy wheels 8.5J x 18 ET45
CG4	RAD	Alloy wheels 5.5J x 15
CG5	RAD	Alloy wheels 7J x 16 3B7 601 025, ET45
CG6	RAD	Alloy wheels 7.5J x 17
CG7	RAD	Alloy wheels 7J x 16
CG8	RAD	Alloy wheels 6J x 15
CG9	RAD	Forged alloy wheels 8.5J x 19
CH0	RAD	Alloy wheels 5.5J x 15
CH1	RAD	Alloy wheels 6J x 15
CH2	RAD	Alloy wheels 7.5J x 17
CH3	RAD	Steel wheels 7J x 16
CH4	RAD	Alloy wheels 8.5J x 19 in front, with 11J x 19 in rear
CH5	RAD	Alloy wheels 7.5J x17
CH6	RAD	Alloy wheels 8.5J x 19
CH7	RAD	Alloy wheels 7.5J x 17
CH8	RAD	Alloy wheels 8J x 18
CH9	RAD	Alloy wheels 8J x 18
CI1	RAD	Alloy wheels 7J x 18
CI2	RAD	Alloy wheels 8.5J x 19 in front, with 11J x 19 in rear
CI3	RAD	Alloy wheels 7J x 17
CI4	RAD	Alloy wheels 6.5J x 17
CI5	RAD	Alloy wheels 6.5J x 16
CI6	RAD	Alloy wheels 6.5J x 16
CI7	RAD	Alloy wheels 7.5J x 17
CI8	RAD	Alloy wheels 6J x 16
CI9	RAD	Alloy wheels 10J x 20
CJ0	RAD	Alloy wheels 7J x 16
CJ1	RAD	Alloy wheels 7.5J x 17
CJ2	RAD	Alloy wheels 8J x 18
CJ3	RAD	Alloy wheels 9J x 19
CJ4	RAD	Alloy wheels 9J x 20
CJ5	RAD	Alloy wheels 6J x 15
CJ6	RAD	Alloy wheels 8J x 18
CJ7	RAD	Alloy wheels 7J x 16
CJ8	RAD	Alloy wheels 6.5J x 16
CJ9	RAD	Alloy wheels 6.5J x 16
CK0	RAD	Alloy wheels 10J x 21
CK1	RAD	Alloy wheels 8.5J x 17
CK2	RAD	Cast alloy wheels 6.5J x 16 ET51
CK3	RAD	Alloy wheels 5J x 14
CK4	RAD	Alloy wheels 6.5J x 16
CK5	RAD	Alloy wheels 7J x 17
CK6	RAD	Cast alloy wheels 7J x 17 ET38
CK7	RAD	Alloy wheels 6J x 14
CK8	RAD	Alloy wheels 6.5J x 16
CK9	RAD	Alloy wheels 255 x 500A in front and 355 x 540A in rear PAX system
CL0	RAD	Alloy wheels 8.5J x 19
CL1	RAD	Alloy wheels 7J x 17
CL2	RAD	Alloy wheels 6.5J x 16
CL3	RAD	Alloy wheels 7.5J x 18
CL4	RAD	Alloy wheels 8J x 18
CL5	RAD	Alloy wheels 8.5J x 18
CL6	RAD	Alloy wheels 7.5J x 17
CL7	RAD	Alloy wheels 8J x 18
CL8	RAD	Alloy wheels 7.5J x 17
CL9	RAD	Alloy wheels 8J x 17
CM0	RAD	Alloy wheels 9J x 18
CM1	RAD	Steel wheels 6.5J x 16
CM2	RAD	Alloy wheels 6.5J x 15
CM3	RAD	Alloy wheels 7J x 17
CM4	RAD	Alloy wheels 7J x 17
CM5	RAD	Alloy wheels 6.5J x 16
CM6	RAD	Alloy wheels 6.5J x 16
CM7	RAD	Alloy wheels 6.5J x 16
CM8	RAD	Alloy wheels 8.5J x 21
CM9	RAD	Alloy wheels 8.5J x 21
CN0	RAD	Alloy wheels 7J x 17
CN1	RAD	Alloy wheels 7J x 17
CN2	RAD	Steel wheels 7.50 x 22.5 (10-hole)
CN3	RAD	Alloy wheels 7J x 17
CN4	RAD	Alloy wheels 6.5J x 16
CN5	RAD	Alloy wheels 10J x 21
CN6	RAD	Alloy wheels 9J x 18
CN7	RAD	Alloy wheels 9J x 20
CN8	RAD	Alloy wheels 7J x 16
CN9	RAD	Alloy wheels 7J x 16
CP0	RAD	Alloy wheels 7J x 16
CP1	RAD	Alloy wheels 7J x 16
CP2	RAD	Alloy wheels 7.5J x 17
CP3	RAD	Alloy wheels 7.5J x 17
CP4	RAD	Alloy wheels 7.5J x 17
CP5	RAD	Alloy wheels 9J x 20
CP6	RAD	Alloy wheels 6J x14 ET38
CP7	RAD	Alloy wheels 9J x 19
CP8	RAD	Alloy wheels 6J x 16
CP9	RAD	Alloy wheels 7J x 17
CQ0	RAD	Alloy wheels 6.5J x 16
CQ1	RAD	Alloy wheels 10J x 21
CQ2	RAD	Alloy wheels 9J x 20
CQ3	RAD	Alloy wheels 7J x 16
CQ4	RAD	Alloy wheels 7.5J x 18
CQ5	RAD	Alloy wheels 7J x 17
CQ6	RAD	Alloy wheels 7.5J x 17
CQ7	RAD	Steel wheels 5J x 13
CQ8	RAD	Alloy wheels 7.5J x 17
CQ9	RAD	Alloy wheels 7J x 17
CR0	RAD	Alloy wheels 7J x 17
CR1	RAD	Cast alloy wheels 6.5J x 16
CR2	RAD	Cast alloy wheels 6.5J x 16
CR3	RAD	Cast alloy wheels 7J x 16
CR4	RAD	Alloy wheels 6J x 15
CR5	RAD	Alloy wheels 6.5J x 16
CR6	RAD	Alloy wheels 9J x 19
CR7	RAD	Steel wheels 6.5J x 15
CR8	RAD	Alloy wheels 7J x 17
CR9	RAD	Alloy wheels with PAX system 205 x 440A 7-spoke style, ET41
CS0	RAD	Alloy wheels 6.5J x 16
CS1	RAD	Alloy wheels 8J x 18
CS2	RAD	Alloy wheels 8.5J x 19 in front, with 11J x 19 in rear
CS3	RAD	Alloy wheels 7J x 17
CS4	RAD	Steel wheels 7J x 17
CS5	RAD	Alloy wheels 9J x 20
CS6	RAD	Alloy wheels 9J x 20
CS7	RAD	Alloy wheels 8J x 19
CS8	RAD	Alloy wheels 9J x 20
CS9	RAD	Alloy wheels 7.5J x 17
CT0	RAD	Alloy wheels 7.5J x 17
CT1	RAD	Alloy wheels 9J x 20
CT2	RAD	Alloy wheels 6J x 15
CT3	RAD	Alloy wheels 7J x 16
CT4	RAD	Alloy wheels 7.5J x 17
CT5	RAD	Alloy wheels 7.5J x 18
CT6	RAD	Steel wheels 9.00 x 22.5 (10-hole)
CT7	RAD	Alloy wheels 6J x 15
CT8	RAD	Alloy wheels 6J x 15
CT9	RAD	Alloy wheels 255 x 500 (PAX system)
CU0	RAD	Alloy wheels 8.5J x 19
CU1	RAD	Alloy wheels 6J x 15
CU2	RAD	Alloy wheels 7.5J x 16
CU3	RAD	Alloy wheels 6.5J x 16
CU4	RAD	Alloy wheels 6.5J x 16
CU5	RAD	Cast alloy wheels 8J x 17 Speedline
CU6	RAD	Alloy wheels 7J x 17
CU7	RAD	Alloy wheels 7.5J x 18
CU8	RAD	Alloy wheels 6J x 15
CU9	RAD	Cast alloy wheels 6.5J x 16
CV0	RAD	Alloy wheels 7J x 17
CV1	RAD	Alloy wheels 7.5J x 18
CV2	RAD	Alloy wheels 6J x 16
CV3	RAD	Forged alloy wheels 6.5J x 16 ET50 (1K0 601 025P)
CV4	RAD	Alloy wheels 7.5J x 18
CV5	RAD	Alloy wheels 7.5J x 17
CV6	RAD	Alloy wheels 9J x 20
CV7	RAD	Alloy wheels 8.5J x 18
CV8	RAD	Alloy wheels 8.5J x 18
CV9	RAD	Alloy wheels 9J x 19
CW0	RAD	Alloy wheels 9J x 19
CW1	RAD	Alloy wheels 9J x 19
CW2	RAD	Alloy wheels 9J x 19
CW3	RAD	Alloy wheels 9J x 19
CW4	RAD	Alloy wheels 9J x 19
CW5	RAD	Alloy wheels 9J x 19
CW6	RAD	Alloy wheels 7.5J x 19
CW7	RAD	Alloy wheels 5.5J x 15
CW8	RAD	Alloy wheels 7J x 16
CW9	RAD	Alloy wheels 7J x 16
CX0	RAD	Alloy wheels 7J x 16
CX1	RAD	Alloy wheels 7J x 16
CX2	RAD	Alloy wheels 10J x 22
CX3	RAD	Alloy wheels 8.5J x 18
CX4	RAD	Steel wheels 5.5J x 17
CX5	RAD	Steel wheels 5.5J x 17
CX6	RAD	Alloy wheels glossy 9.00 x 22.5
CX7	RAD	Alloy wheels 6J x 15
CX8	RAD	Alloy wheels 7J x 17
CX9	RAD	Steel wheels 6J x 15 weight-optimized
CY0	RAD	Steel wheels 6J x 16
CY1	RAD	Alloy wheels 9J x 20
CY2	RAD	Alloy wheels 10J x 21
CY3	RAD	Alloy wheels 9J x 20 in front, with 10J x 20 in rear
CY4	RAD	Alloy wheels 9J x 20 in front, with 10J x 20 in rear
CY5	RAD	Alloy wheels 7.5J x 17
CY6	RAD	Alloy wheels 9.5J x 20
CY7	RAD	Cast alloy wheels 8.5J x 18 in front, with 10.5J x 18 in rear
CY8	RAD	Cast alloy wheels 8.5J x 19 in front, with 11J x 19 in rear
CY9	RAD	Alloy wheels 7J x 17
CZ0	RAD	Steel wheels 6.5J x 16 weight-optimized
CZ1	RAD	Alloy wheels 8.25 x 22.5, polished gloss
CZ2	RAD	Alloy wheels 6.00 x 17.5, polished gloss
CZ3	RAD	Alloy wheels 8.5J x 19
CZ4	RAD	Alloy wheels 10J x 21
CZ5	RAD	Alloy wheels 7.5J x 18
CZ6	RAD	Titanium wheels 9J x 20 in front and 13J x 21 in rear
CZ7	RAD	Slave wheels
CZ8	RAD	Alloy wheels 7J x 17
CZ9	RAD	Cast alloy wheels 8.5J x 19 in front and 11J x 19 in rear
D01	MOT	6-cylinder SI engine 3.6 l/206 kW (24V) VR6, hybrid, FSI, homogeneous base engine is TL3
D02	MOT	4-cylinder SI engine 2.0 l/228 kW TFSI, homogeneous base engine is TT6
D03	MOT	4-cylinder SI engine 2.0 l/191 kW (16V) turbo FSI, homogeneous base engine is TA2
D04	MOT	6-cylinder SI engine 3.6 L/191 kW (24V) VR6, FSI, homogeneous base engine is TV0
D05	MOT	6-cylinder SI engine 2.8 l/150 kW 24V V6 FSI base engine is T44/T8Z
D06	MOT	5-cylinder SI engine 2.5 l/265 kW (20V) (R-5) TFSI, homogeneous base engine is TB9
D07	MOT	5-cylinder SI engine 2.5 l/250 kW (20V) (R-5) TFSI, homogeneous base engine is TB9
D08	MOT	6-cylinder SI engine 3.0 l/200 kW (24V) TFSI, homogeneous base engine is TC6/TM8
D09	MOT	6-cylinder SI engine 3.0 l/235 kW (24V) TFSI, homogeneous base engine is TC6, T9I
D0A	MOT	8-cylinder SI engine 4.2 l/260 kW V8 32VFSI, homogeneous base engine is T8T
D0B	MOT	5-cylinder diesel engine 2.5 l/85 kW TDIunit-injector system, EU3 base engine is T03
D0C	MOT	5-cylinder diesel engine 2.5 l/115 kW TDI, unit-injector system base engine is T03/T87
D0D	MOT	6-cylinder SI engine 2.9 l/243 kW biturbo, FSI, homogeneous base engine is TV8
D0E	MOT	8-cylinder SI engine 4.2 l/220 kW V8 motronic, EU3-D base engine is T7S
D0F	MOT	8-cylinder SI engine 4.2 l/220 kW V8 motronic base engine is T7S
D0G	MOT	8-cylinder SI engine V8 4.2 l/246 kW 40Vcam phaser w/o active cyl. man., MPI base engine is T81/T79/T88
D0H	MOT	8-cylinder SI engine 3.7 l/206 kW V8 40Vcam phaser w/o active cyl. man., MPI base engine is T82
D0I	MOT	10-cylinder SI engine 5.2 l/426 kW (40V)V10, FSI, homogeneous base engine is TT8
D0J	MOT	4-cyl. turbo diesel eng. 2.0 l/88 kW (16V) TDI with unit-injector system base engine is TN0/TB3
D0K	MOT	4-cylinder diesel engine 2.0 l/51 kW SDIunit-injector system base engine is T1A
D0L	MOT	6-cylinder SI engine 2.7 l/280 kW (30V) biturbo base engine is T0R
D0M	MOT	4-cyl. turbo diesel en. 2.0 l/125 kW 16VTDI, unit-injector system base engine is TB3/T9G/TN0/TQ0
D0N	MOT	6-cylinder SI engine 2.4 l/100 kW (30V) EU4 base engine is T7T
D0P	MOT	4-cyl. turbo diesel eng. 2.0 l/105 kW (16V) TDI with unit-injector system base engine is TQ0
D0Q	MOT	4-cylinder SI engine 2.0 l/175 kW (16V) turbo FSI, homogeneous base engine is TI6
D0R	MOT	6-cyl. diesel engine 3.0 l/155 kW TDI unit-injector system system base engine is T07
D0S	MOT	12-cylinder SI engine 6.0 l/330 kW (48V)WR12, motronic, EU4 base engine is T08
D0T	MOT	12-cylinder SI engine 6.0 l/331 KW WR12 (48V), motronic base engine is T1H
D0U	MOT	8-cylinder SI engine 4.2 l/220 kW (40V) V8 base engine is T7S
D0V	MOT	8-cylinder SI engine 4.2 l/331 kW (40V) V8, biturbo base engine is T09
D0W	MOT	8-cylinder SI engine 4.2 l/309 kW (32V) FSI, homogeneous base engine is TK7
D0X	MOT	4-cylinder SI engine 1.6 l/64 kW MPI
D0Y	MOT	4-cylinder SI engine 1.6 l/68 kW with catalytic converter, US 83 base engine is TB4
D0Z	MOT	4-cylinder SI engine 1.6 l/49 kW with catalytic converter base engine is T4G
D10	MOT	6-cylinder SI engine 3.2 l/183 KW (24V) FSI, homogeneous base engine is T14
D11	MOT	6-cylinder SI engine 3.0 l/245 kW (24V) TFSI, homogeneous base engine is TC6/TE8/TM8
D12	MOT	6-cylinder SI engine 3.0 l/213 kW (24V) TFSI, homogeneous base engine is TC6/TM8/TE9/T9I
D13	MOT	6-cylinder SI engine 3.0 l/220 kW (24V) TFSI, homogeneous base engine is TC6/TD9/TF9/TM8/TE9
D14	MOT	4-cylinder SI engine 2.0 l/200 kW (16 V)turbo FSI, homogeneous base engine is TA2/TT6
D15	MOT	4-cylinder SI engine 2.0 l/130 kW (16V) turbo FSI, homogeneous base engine is TG6/TV2/TL6/T2J/T1Z
D16	MOT	4-cylinder SI engine 1.4 l/96 kW 4V TSI base engine is TT3/TL9
D17	MOT	3-cylinder SI engine 1.0 l/66 kW TSI, CNG (natural gas) base engine is T6P
D18	MOT	6-cylinder SI engine 3.0 l/228 kW (24V) TFSI, homogeneous base engine is TC6/TE9/TM8
D19	MOT	6-cylinder SI engine 3.0 l/245 kW (24V) hybrid, TFSI, homogeneous base engine is TC6
D1A	MOT	4-cylinder SI engine 1.8 l/92 kW (20V) EU3D base engine is T0V
D1B	MOT	4-cylinder SI engine 1.8 l/110 kW (20V),turbo, EU3D base engine is T8B
D1C	MOT	6-cylinder SI engine 2.9 l/280 kW biturbo, FSI, homogeneous base engine is TV8
D1D	MOT	6-cyl. turbo diesel engine 3.0 l/171 kW (24V) V6 TDI, common rail base engine is T41
